,instance,hidden_dim,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap,min_leaf
0,CTG_width,20,4,0.001,37,0.9235294117647059,0.8529411764705882,0.8128654970760234,13805.761784553528,0.9908957415565345,2.0
0,CTG_width,20,4,0.001,42,0.9549019607843138,0.8705882352941177,0.8713450292397661,13803.860127687454,0.9852310071525227,2.0
0,CTG_width,20,4,0.001,53,0.9431372549019608,0.8588235294117647,0.8538011695906432,13804.171587467194,0.9875377400912186,2.0
0,CTG_width,20,4,0.01,37,0.9117647058823529,0.9,0.847953216374269,13803.811897277832,0.9358841778697,2.0
0,CTG_width,20,4,0.01,42,0.9117647058823529,0.8705882352941177,0.8888888888888888,13803.728072166443,0.9385753336549284,2.0
0,CTG_width,20,4,0.01,53,0.903921568627451,0.8529411764705882,0.8596491228070176,13808.899000167847,0.9448393350300859,2.0
0,CTG_width,20,4,0.1,37,0.8372549019607843,0.8647058823529412,0.8187134502923976,13804.756932020187,0.6905158069883527,2.0
0,CTG_width,20,4,0.1,42,0.8431372549019608,0.8176470588235294,0.847953216374269,13827.33102107048,0.6768189509306274,2.0
0,CTG_width,20,4,0.1,53,0.8647058823529412,0.8294117647058824,0.8538011695906432,13803.684563875198,0.7353342428376536,2.0
0,CTG_width,20,6,0.001,37,0.8784313725490196,0.8647058823529412,0.8070175438596491,13822.266539812088,0.9970958373668926,2.0
0,CTG_width,20,6,0.001,42,0.7352941176470589,0.7764705882352941,0.7017543859649122,13821.768122911453,0.9985843637886687,2.0
0,CTG_width,20,6,0.001,53,0.703921568627451,0.6470588235294118,0.7017543859649122,13819.704732894897,0.9987299176410511,2.0
0,CTG_width,20,6,0.01,37,0.9058823529411765,0.9058823529411765,0.847953216374269,13840.750507831573,0.9712696941612604,2.0
0,CTG_width,20,6,0.01,42,0.8509803921568627,0.7529411764705882,0.8245614035087719,13829.217068195343,0.9776738749269432,2.0
0,CTG_width,20,6,0.01,53,0.6764705882352942,0.6235294117647059,0.5964912280701754,13821.422827243805,0.9887705487381339,2.0
0,CTG_width,20,6,0.1,37,0.8372549019607843,0.8647058823529412,0.8187134502923976,13823.550543785095,0.8452579034941764,2.0
