instance,depth,seed,train_acc,val_acc,test_acc,train_time
balance-scale,2,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.0011038780212402344
balance-scale,2,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.000431060791015625
balance-scale,2,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0022478103637695312
balance-scale,3,37,0.782051282051282,0.6666666666666666,0.7515923566878981,0.0008111000061035156
balance-scale,3,42,0.8044871794871795,0.6794871794871795,0.6942675159235668,0.0009441375732421875
balance-scale,3,53,0.8012820512820513,0.6923076923076923,0.7133757961783439,0.0007319450378417969
balance-scale,4,37,0.8365384615384616,0.7756410256410257,0.7643312101910829,0.0005457401275634766
balance-scale,4,42,0.8301282051282052,0.782051282051282,0.7452229299363057,0.00043201446533203125
balance-scale,4,53,0.842948717948718,0.7756410256410257,0.802547770700637,0.00045490264892578125
balance-scale,5,37,0.875,0.7884615384615384,0.7898089171974523,0.0006010532379150391
balance-scale,5,42,0.8685897435897436,0.7564102564102564,0.7388535031847133,0.0005729198455810547
balance-scale,5,53,0.8814102564102564,0.7756410256410257,0.7898089171974523,0.00061798095703125
breast-cancer,2,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.00047016143798828125
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.000514984130859375
breast-cancer,2,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0004467964172363281
breast-cancer,3,37,0.7971014492753623,0.782608695652174,0.7428571428571429,0.0004291534423828125
breast-cancer,3,42,0.8260869565217391,0.6956521739130435,0.7285714285714285,0.0003681182861328125
breast-cancer,3,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,0.000408172607421875
breast-cancer,4,37,0.8260869565217391,0.782608695652174,0.7,0.00046896934509277344
breast-cancer,4,42,0.8695652173913043,0.7101449275362319,0.7428571428571429,0.0004200935363769531
breast-cancer,4,53,0.855072463768116,0.6956521739130435,0.7,0.00038886070251464844
breast-cancer,5,37,0.8623188405797102,0.7536231884057971,0.6571428571428571,0.0004391670227050781
breast-cancer,5,42,0.9057971014492754,0.7246376811594203,0.7,0.0004138946533203125
breast-cancer,5,53,0.8840579710144928,0.6666666666666666,0.6857142857142857,0.0004088878631591797
car-evaluation,2,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0004892349243164062
car-evaluation,2,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.0004730224609375
car-evaluation,2,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0005438327789306641
car-evaluation,3,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0005319118499755859
car-evaluation,3,42,0.7835648148148148,0.7939814814814815,0.8055555555555556,0.0005588531494140625
car-evaluation,3,53,0.8020833333333334,0.7893518518518519,0.7569444444444444,0.0005249977111816406
car-evaluation,4,37,0.8495370370370371,0.8240740740740741,0.8240740740740741,0.0005738735198974609
car-evaluation,4,42,0.8599537037037037,0.8819444444444444,0.8472222222222222,0.0005857944488525391
car-evaluation,4,53,0.8368055555555556,0.8356481481481481,0.8379629629629629,0.0005400180816650391
car-evaluation,5,37,0.875,0.8703703703703703,0.8425925925925926,0.0006051063537597656
